type,immatriculation,marque,modele,annee,kilometrage,tarifJournalier,disponible
Voiture,ABC123,Toyota,Corolla,2020,45000,55,true
Voiture,DEF456,Honda,Civic,2021,32000,60,true
Voiture,GHI789,Ford,Focus,2019,67000,50,false
Voiture,JKL321,Hyundai,Elantra,2022,18000,65,true
Voiture,MNO654,Kia,Forte,2020,41000,54,true
Moto,MOT101,Yamaha,MT-07,2021,15000,40,true
Moto,MOT102,Honda,CB500,2020,22000,38,false
Moto,MOT103,Kawasaki,Ninja,2022,9000,45,true
Moto,MOT104,Suzuki,SV650,2019,28000,36,true
Moto,MOT105,BMW,G310R,2021,12000,48,true
Camion,CAM201,Ford,Transit,2018,98000,95,true
Camion,CAM202,Mercedes,Sprinter,2020,74000,110,false
Camion,CAM203,Renault,Master,2019,86000,100,true
Camion,CAM204,Iveco,Daily,2021,53000,120,true
Camion,CAM205,Fiat,Ducato,2020,61000,105,true
Voiture,ERR999,Toyota,Yaris,2022,-5000,50,true
